problemName,numCustomers,vehicleFileID,problemType,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,totalTime_our,ofv_our,waitingTruck_our,waitingUAV_our,numUAVcust_our,numTruckCust_our,totalTime_their,ofv_their,waitingTruck_their,waitingUAV_their,numUAVcust_their,numTruckCust_their,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner
20170608T122043762852,10,101,2,1,-1,1,1,1,0.036567,1174.878166,240.0,128.965557,3,7,0.056762,1174.878166,240.0,68.965557,3,7,our,tie,tie,their,tie,tie
20170608T122048564577,10,101,2,1,-1,1,1,1,0.084829,1473.452895,270.0,225.234475,3,7,0.058921,1473.452895,270.0,195.234475,3,7,their,tie,tie,their,tie,tie
20170608T122053358160,10,101,2,1,-1,1,1,1,0.035277,1649.186533,190.643737,50.027565,2,8,0.053155,1649.186533,190.643737,50.027565,2,8,our,tie,tie,tie,tie,tie
20170608T122058404415,10,101,2,1,-1,1,1,1,0.049643,1352.250883,180.0,130.324592,2,8,0.064531,1352.250883,180.0,100.324592,2,8,our,tie,tie,their,tie,tie
20170608T122103536027,10,101,2,1,-1,1,1,1,0.042951,1504.472408,330.0,373.350477,4,6,0.057622,1504.472408,330.0,218.317607,4,6,our,tie,tie,their,tie,tie
20170608T122108589505,10,101,2,1,-1,1,1,1,0.043487,1606.38978,330.0,189.839507,4,6,0.058576,1611.498478,335.108698,230.056902,4,6,our,our,our,our,tie,tie
20170608T131310834813,10,101,2,1,-1,1,1,1,0.051487,1206.838446,314.331171,172.380653,3,7,0.08665,1206.838446,314.331171,129.330117,3,7,our,tie,tie,their,tie,tie
20170606T113038113409,25,101,2,1,-1,1,1,1,0.604071,8799.860981,972.242729,1789.909285,9,16,0.879296,8799.860981,972.242729,1789.909285,9,16,our,tie,tie,tie,tie,tie
20170606T113251786976,25,101,2,1,-1,1,1,1,0.294726,10334.219806,868.169729,888.699649,7,18,0.359481,10320.35851,854.308431,934.838351,7,18,our,their,their,our,tie,tie
20170606T113339368121,25,101,2,1,-1,1,1,1,0.919867,8589.442479,748.784821,718.849888,8,17,1.259106,8584.156632,743.498974,966.328966,8,17,our,their,their,our,tie,tie
20170606T113427164164,25,101,2,1,-1,1,1,1,0.390246,9064.033384,946.633749,936.188933,8,17,0.555265,9064.033384,946.633749,846.188933,8,17,our,tie,tie,their,tie,tie
20170606T113515209066,25,101,2,1,-1,1,1,1,0.329515,9177.069972,713.744996,650.259374,7,18,0.379792,9177.069972,713.744996,650.259374,7,18,our,tie,tie,tie,tie,tie
20170606T113603010160,25,101,2,1,-1,1,1,1,0.363263,10584.619301,696.506678,929.013208,7,18,0.398866,10634.4619,746.349272,775.675928,7,18,our,our,our,their,tie,tie
20170606T113651352937,25,101,2,1,-1,1,1,1,0.359375,9202.276796,646.12416,1160.106542,7,18,0.44779,8981.933188,736.12416,1438.517224,8,17,our,their,our,our,our,their
20170606T123216270309,25,101,2,1,-1,1,1,1,0.671845,5844.214212,904.909036,1061.14112,9,16,0.799826,5844.214212,904.909036,1121.14112,9,16,our,tie,tie,our,tie,tie
20170606T123231190878,25,101,2,1,-1,1,1,1,0.65703,5596.966889,717.580935,1330.714397,8,17,0.673287,5596.966889,717.580935,1390.714397,8,17,our,tie,tie,our,tie,tie
20170606T123246328134,25,101,2,1,-1,1,1,1,0.328914,6685.440524,1038.856406,1356.689491,9,16,0.520392,6737.86269,1038.856406,1707.570796,9,16,our,our,tie,our,tie,tie
20170606T123301396863,25,101,2,1,-1,1,1,1,0.461101,5495.391469,1159.579742,1008.283623,12,13,0.517795,5495.391469,1159.579742,1030.79587,12,13,our,tie,tie,our,tie,tie
20170606T123316638608,25,101,2,1,-1,1,1,1,0.613337,6127.388262,914.234265,1519.242356,10,15,0.766347,6114.484279,901.330282,1554.735088,10,15,our,their,their,our,tie,tie
20170606T123331779163,25,101,2,1,-1,1,1,1,0.44043,6846.591989,936.670767,1465.005272,10,15,0.476543,6829.453205,919.531983,1387.866488,10,15,our,their,their,their,tie,tie
20170606T123346836976,25,101,2,1,-1,1,1,1,0.744443,6149.539715,828.394731,752.209495,8,17,0.609583,6195.119982,1174.909142,1514.735042,11,14,their,our,our,our,our,their
20170606T123411109972,25,101,2,1,-1,1,1,1,0.707508,5824.426913,1036.800291,738.089891,9,16,0.884121,5784.549689,1276.800291,1220.35922,12,13,our,their,our,our,our,their
20170606T123426160449,25,101,2,1,-1,1,1,1,0.563718,6240.384532,933.500155,1353.523653,9,16,0.68856,6202.14433,895.259953,1285.283451,9,16,our,their,their,their,tie,tie
20170606T181516057642,25,101,2,1,-1,1,1,1,0.483634,10184.217014,879.534082,688.35605,7,18,0.68143,10184.21701,879.534082,658.35605,7,18,our,their,tie,their,tie,tie
20170606T181644949435,25,101,2,1,-1,1,1,1,0.336034,9851.613122,829.124827,1339.694261,8,17,0.383161,9851.613122,829.124827,1189.694261,8,17,our,tie,tie,their,tie,tie
20170606T183158840946,25,101,2,1,-1,1,1,1,0.428409,5869.829216,1096.43431,1297.232937,11,14,0.535457,5806.053641,990.0,1152.74294,11,14,our,their,their,their,tie,tie
20170607T111048231225,25,101,2,1,-1,1,1,1,0.606339,10068.118279,733.613048,367.787903,6,19,0.74198,10068.11828,733.613048,664.139251,6,19,our,our,tie,our,tie,tie
