problemName,numCustomers,totalTime_our,ofv_our,waitingTruck_our,waitingUAV_our,numUAVcust_our,numTruckCust_our,totalTime_their,ofv_their,waitingTruck_their,waitingUAV_their,numUAVcust_their,numTruckCust_their,matchType,totalTime_diff_our_minus_their,totalTime_diff_their_minus_our,totalTime_our_improvement_percent,ofv_diff_our_minus_their,ofv_diff_their_minus_our,ofv_our_improvement_percent,waitingTruck_diff_our_minus_their,waitingTruck_diff_their_minus_our,waitingTruck_our_improvement_percent,waitingUAV_diff_our_minus_their,waitingUAV_diff_their_minus_our,waitingUAV_our_improvement_percent,numUAVcust_diff_our_minus_their,numUAVcust_diff_their_minus_our,numTruckCust_diff_our_minus_their,numTruckCust_diff_their_minus_our,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner
20170608T121355407419,8,0.00319,2848.656465,85.846763,875.32819,5,3,0.212975,2612.223287,420.0,1442.774689,5,3,problemName_numCustomers,-0.209785,0.209785,98.5021716163869,236.43317800000023,-236.43317800000023,-9.051032474009189,-334.153237,334.153237,79.56029452380952,-567.4464990000001,567.4464990000001,39.330222752473034,0,0,0,0,our,their,our,our,tie,tie
20170608T121411132375,8,0.003135,3153.91395,257.389754,206.125929,5,3,0.122831,2731.283756,420.0,1035.967769,5,3,problemName_numCustomers,-0.119696,0.119696,97.44771271096059,422.6301940000003,-422.6301940000003,-15.473683137886326,-162.61024600000002,162.61024600000002,38.716725238095236,-829.84184,829.84184,80.10305579304176,0,0,0,0,our,their,our,our,tie,tie
20170608T121426910678,8,0.003072,2948.287173,73.831798,1207.909551,6,2,0.053536,2724.455375,480.0,2562.427159,6,2,problemName_numCustomers,-0.050464,0.050464,94.26180514046622,223.83179800000016,-223.83179800000016,-8.215652935772537,-406.168202,406.168202,84.61837541666667,-1354.5176079999999,1354.5176079999999,52.860726332943145,0,0,0,0,our,their,our,our,tie,tie
20170608T121442695307,8,0.002919,2295.069054,158.485393,382.176722,5,3,0.110303,1909.751767,540.0,3064.090947,7,1,problemName_numCustomers,-0.107384,0.107384,97.35365311913546,385.3172870000001,-385.3172870000001,-20.176302159169573,-381.514607,381.514607,70.65085314814816,-2681.914225,2681.914225,87.52723960840056,-2,2,2,-2,our,their,our,our,their,their
20170608T121458174165,8,0.003625,4676.09177,559.510046,377.360921,4,4,0.150319,3518.420081,1325.789086,5186.016371,5,3,problemName_numCustomers,-0.14669400000000002,0.14669400000000002,97.58846187108749,1157.6716889999998,-1157.6716889999998,-32.90316853441128,-766.27904,766.27904,57.79795957680708,-4808.655449999999,4808.655449999999,92.72349152019288,-1,1,1,-1,our,their,our,our,their,their
20170608T121529379067,8,0.003388,4079.237905,184.670303,0.0,1,7,0.075841,3602.899092,240.0,1550.224463,3,5,problemName_numCustomers,-0.072453,0.072453,95.53275932543085,476.33881299999985,-476.33881299999985,-13.220986789712727,-55.32969700000001,55.32969700000001,23.05404041666667,-1550.224463,1550.224463,100.0,-2,2,2,-2,our,their,our,our,their,their
20170608T121545140439,8,0.003232,4197.586291,190.17476,127.070505,2,6,0.181297,3707.41601,420.0,2567.222504,6,2,problemName_numCustomers,-0.178065,0.178065,98.21728986138766,490.1702809999997,-490.1702809999997,-13.221345532248478,-229.82524,229.82524,54.72029523809524,-2440.1519989999997,2440.1519989999997,95.0502730167716,-4,4,4,-4,our,their,our,our,their,their
20170608T121601152699,8,0.018051,3835.539426,270.0,448.499147,3,5,0.04197,3225.33907,480.0,3044.096588,6,2,problemName_numCustomers,-0.023919,0.023919,56.990707648320225,610.2003559999998,-610.2003559999998,-18.918952170817807,-210.0,210.0,43.75,-2595.597441,2595.597441,85.2665927629232,-3,3,3,-3,our,their,our,our,their,their
20170608T121616676866,8,0.003616,3493.960216,0.0,806.204644,5,3,0.078765,3201.725593,450.0,2247.884716,6,2,problemName_numCustomers,-0.07514900000000001,0.07514900000000001,95.4091284199835,292.23462299999983,-292.23462299999983,-9.127410032855986,-450.0,450.0,100.0,-1441.680072,1441.680072,64.13496482886359,-1,1,1,-1,our,their,our,our,their,their
20170608T121944818056,8,0.031834,1103.007537,161.766962,9.197644,2,6,0.068925,993.152066,270.0,341.674231,4,4,problemName_numCustomers,-0.037091,0.037091,53.81356546971345,109.85547099999997,-109.85547099999997,-11.061294112033792,-108.233038,108.233038,40.08631037037037,-332.476587,332.476587,97.30806623224682,-2,2,2,-2,our,their,our,our,their,their
