problemName,customerCount,status,vehicleFileID,cutoffTime,problemType,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runtimeSecondsByRunner,returncode,objective,totalTime,truckWaitingTime,uavWaitingTime,numTruckCustomers,numUAVCustomers,truckRoute,uavSorties
20170608T121632668184,10,solved,101,3600,2,3,-1,1,1,3,1,22.88861393928528,0,3752.702367,22.828036,0.0,4634.807165,5.0,5.0,"[0, 2, 3, 6, 9, 10, 0]","[{'uav': 2, 'launch': 2, 'customer': 5, 'recovery': 6, 'launch_time': 148.089241, 'arrival_to_recovery_time': 719.92325, 'sortie_duration': 571.834009, 'recovery_truck_arrival_time': 1673.857428, 'truck_waiting_time': 0.0, 'uav_waiting_time': 953.934178, 'estimated_improvement': 1594.651065}, {'uav': 3, 'launch': 2, 'customer': 4, 'recovery': 9, 'launch_time': 148.089241, 'arrival_to_recovery_time': 705.381987, 'sortie_duration': 557.292746, 'recovery_truck_arrival_time': 2347.881442, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1642.499455, 'estimated_improvement': 1562.511708}, {'uav': 4, 'launch': 2, 'customer': 1, 'recovery': 9, 'launch_time': 148.089241, 'arrival_to_recovery_time': 770.981254, 'sortie_duration': 622.892013, 'recovery_truck_arrival_time': 2347.881442, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1576.900188, 'estimated_improvement': 1105.688679}, {'uav': 2, 'launch': 10, 'customer': 8, 'recovery': 0, 'launch_time': 3078.935167, 'arrival_to_recovery_time': 3523.818121, 'sortie_duration': 444.882954, 'recovery_truck_arrival_time': 3752.702367, 'truck_waiting_time': 0.0, 'uav_waiting_time': 228.884246, 'estimated_improvement': 585.9026}, {'uav': 3, 'launch': 10, 'customer': 7, 'recovery': 0, 'launch_time': 3078.935167, 'arrival_to_recovery_time': 3520.113268, 'sortie_duration': 441.178101, 'recovery_truck_arrival_time': 3752.702367, 'truck_waiting_time': 0.0, 'uav_waiting_time': 232.589099, 'estimated_improvement': 459.203775}]"
20170608T121651164057,10,solved,101,3600,2,3,-1,1,1,3,1,24.387875080108643,0,3538.598602,24.328924,0.0,6992.95458,4.0,6.0,"[0, 5, 10, 4, 8, 0]","[{'uav': 2, 'launch': 5, 'customer': 1, 'recovery': 8, 'launch_time': 562.94853, 'arrival_to_recovery_time': 1240.992737, 'sortie_duration': 678.044207, 'recovery_truck_arrival_time': 2886.54076, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1645.548023, 'estimated_improvement': 948.836641}, {'uav': 3, 'launch': 5, 'customer': 6, 'recovery': 8, 'launch_time': 562.94853, 'arrival_to_recovery_time': 1077.207292, 'sortie_duration': 514.258762, 'recovery_truck_arrival_time': 2886.54076, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1809.333468, 'estimated_improvement': 869.069169}, {'uav': 4, 'launch': 5, 'customer': 2, 'recovery': 0, 'launch_time': 562.94853, 'arrival_to_recovery_time': 1144.394987, 'sortie_duration': 581.446457, 'recovery_truck_arrival_time': 3538.598602, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2394.203615, 'estimated_improvement': 497.606334}, {'uav': 2, 'launch': 4, 'customer': 7, 'recovery': 8, 'launch_time': 1898.764347, 'arrival_to_recovery_time': 2559.635672, 'sortie_duration': 660.871325, 'recovery_truck_arrival_time': 2886.54076, 'truck_waiting_time': 0.0, 'uav_waiting_time': 326.905088, 'estimated_improvement': 481.678934}, {'uav': 3, 'launch': 4, 'customer': 9, 'recovery': 8, 'launch_time': 1898.764347, 'arrival_to_recovery_time': 2430.088073, 'sortie_duration': 531.323726, 'recovery_truck_arrival_time': 2886.54076, 'truck_waiting_time': 0.0, 'uav_waiting_time': 456.452687, 'estimated_improvement': 398.658875}, {'uav': 4, 'launch': 4, 'customer': 3, 'recovery': 8, 'launch_time': 1898.764347, 'arrival_to_recovery_time': 2526.029062, 'sortie_duration': 627.264715, 'recovery_truck_arrival_time': 2886.54076, 'truck_waiting_time': 0.0, 'uav_waiting_time': 360.511698, 'estimated_improvement': 331.721564}]"
20170608T121710107640,10,solved,101,3600,2,3,-1,1,1,3,1,21.00643014907837,0,4110.508981,20.948534,0.0,7183.479591,5.0,5.0,"[0, 9, 5, 6, 4, 3, 0]","[{'uav': 2, 'launch': 9, 'customer': 1, 'recovery': 0, 'launch_time': 752.132025, 'arrival_to_recovery_time': 1254.675592, 'sortie_duration': 502.543567, 'recovery_truck_arrival_time': 4110.508981, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2855.833389, 'estimated_improvement': 1513.459297}, {'uav': 2, 'launch': 5, 'customer': 8, 'recovery': 0, 'launch_time': 1278.145766, 'arrival_to_recovery_time': 1828.898075, 'sortie_duration': 550.752309, 'recovery_truck_arrival_time': 4110.508981, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2281.610906, 'estimated_improvement': 439.223504}, {'uav': 2, 'launch': 4, 'customer': 7, 'recovery': 0, 'launch_time': 2872.293598, 'arrival_to_recovery_time': 3467.307191, 'sortie_duration': 595.013593, 'recovery_truck_arrival_time': 4110.508981, 'truck_waiting_time': 0.0, 'uav_waiting_time': 643.20179, 'estimated_improvement': 1775.83826}, {'uav': 3, 'launch': 4, 'customer': 2, 'recovery': 0, 'launch_time': 2872.293598, 'arrival_to_recovery_time': 3417.745565, 'sortie_duration': 545.451967, 'recovery_truck_arrival_time': 4110.508981, 'truck_waiting_time': 0.0, 'uav_waiting_time': 692.763416, 'estimated_improvement': 1526.437142}, {'uav': 4, 'launch': 4, 'customer': 10, 'recovery': 0, 'launch_time': 2872.293598, 'arrival_to_recovery_time': 3400.438891, 'sortie_duration': 528.145293, 'recovery_truck_arrival_time': 4110.508981, 'truck_waiting_time': 0.0, 'uav_waiting_time': 710.07009, 'estimated_improvement': 93.506834}]"
20170608T121728978505,10,solved,101,3600,2,3,-1,1,1,3,1,23.48489284515381,0,3476.181525,23.42171,0.0,6596.630295,5.0,5.0,"[0, 3, 4, 9, 7, 2, 0]","[{'uav': 2, 'launch': 3, 'customer': 5, 'recovery': 7, 'launch_time': 468.934661, 'arrival_to_recovery_time': 1165.775323, 'sortie_duration': 696.840662, 'recovery_truck_arrival_time': 2661.30058, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1495.525257, 'estimated_improvement': 2334.813174}, {'uav': 3, 'launch': 3, 'customer': 6, 'recovery': 7, 'launch_time': 468.934661, 'arrival_to_recovery_time': 1069.777799, 'sortie_duration': 600.843138, 'recovery_truck_arrival_time': 2661.30058, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1591.522781, 'estimated_improvement': 1478.405301}, {'uav': 4, 'launch': 4, 'customer': 8, 'recovery': 0, 'launch_time': 529.226424, 'arrival_to_recovery_time': 1027.880835, 'sortie_duration': 498.654411, 'recovery_truck_arrival_time': 3476.181525, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2448.30069, 'estimated_improvement': 233.274795}, {'uav': 2, 'launch': 9, 'customer': 10, 'recovery': 2, 'launch_time': 1409.093566, 'arrival_to_recovery_time': 2069.182825, 'sortie_duration': 660.089259, 'recovery_truck_arrival_time': 2884.560739, 'truck_waiting_time': 0.0, 'uav_waiting_time': 815.377914, 'estimated_improvement': 139.93776}, {'uav': 2, 'launch': 7, 'customer': 1, 'recovery': 0, 'launch_time': 2691.30058, 'arrival_to_recovery_time': 3230.277872, 'sortie_duration': 538.977292, 'recovery_truck_arrival_time': 3476.181525, 'truck_waiting_time': 0.0, 'uav_waiting_time': 245.903653, 'estimated_improvement': 370.100359}]"
20170608T121747991951,10,solved,101,3600,2,3,-1,1,1,3,1,25.201122045516968,0,4719.450855,25.12537,0.0,11651.722417,5.0,5.0,"[0, 2, 10, 4, 8, 7, 0]","[{'uav': 2, 'launch': 2, 'customer': 1, 'recovery': 0, 'launch_time': 376.439347, 'arrival_to_recovery_time': 1036.252909, 'sortie_duration': 659.813562, 'recovery_truck_arrival_time': 4719.450855, 'truck_waiting_time': 0.0, 'uav_waiting_time': 3683.197946, 'estimated_improvement': 772.236972}, {'uav': 3, 'launch': 2, 'customer': 3, 'recovery': 7, 'launch_time': 376.439347, 'arrival_to_recovery_time': 834.014618, 'sortie_duration': 457.575271, 'recovery_truck_arrival_time': 4227.80906, 'truck_waiting_time': 0.0, 'uav_waiting_time': 3393.794442, 'estimated_improvement': 330.558681}, {'uav': 4, 'launch': 2, 'customer': 5, 'recovery': 7, 'launch_time': 376.439347, 'arrival_to_recovery_time': 810.988544, 'sortie_duration': 434.549197, 'recovery_truck_arrival_time': 4227.80906, 'truck_waiting_time': 0.0, 'uav_waiting_time': 3416.820516, 'estimated_improvement': 212.322181}, {'uav': 2, 'launch': 8, 'customer': 9, 'recovery': 0, 'launch_time': 3098.980256, 'arrival_to_recovery_time': 3662.151278, 'sortie_duration': 563.171022, 'recovery_truck_arrival_time': 4719.450855, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1057.299577, 'estimated_improvement': 973.450564}, {'uav': 2, 'launch': 7, 'customer': 6, 'recovery': 0, 'launch_time': 4257.80906, 'arrival_to_recovery_time': 4618.840919, 'sortie_duration': 361.031859, 'recovery_truck_arrival_time': 4719.450855, 'truck_waiting_time': 0.0, 'uav_waiting_time': 100.609936, 'estimated_improvement': 45.677498}]"
20170608T121807019623,10,solved,101,3600,2,3,-1,1,1,3,1,26.523016929626465,0,3855.95587,26.445454,435.570521,1960.295249,4.0,6.0,"[0, 5, 1, 7, 3, 0]","[{'uav': 2, 'launch': 5, 'customer': 2, 'recovery': 1, 'launch_time': 734.872826, 'arrival_to_recovery_time': 1368.894391, 'sortie_duration': 634.021565, 'recovery_truck_arrival_time': 1632.270092, 'truck_waiting_time': 0.0, 'uav_waiting_time': 263.375701, 'estimated_improvement': 1745.842054}, {'uav': 3, 'launch': 5, 'customer': 6, 'recovery': 1, 'launch_time': 734.872826, 'arrival_to_recovery_time': 1303.272515, 'sortie_duration': 568.399689, 'recovery_truck_arrival_time': 1632.270092, 'truck_waiting_time': 0.0, 'uav_waiting_time': 328.997577, 'estimated_improvement': 1688.646394}, {'uav': 4, 'launch': 5, 'customer': 8, 'recovery': 7, 'launch_time': 734.872826, 'arrival_to_recovery_time': 1364.74406, 'sortie_duration': 629.871234, 'recovery_truck_arrival_time': 1917.317216, 'truck_waiting_time': 0.0, 'uav_waiting_time': 552.573156, 'estimated_improvement': 529.968589}, {'uav': 2, 'launch': 1, 'customer': 4, 'recovery': 7, 'launch_time': 1662.270092, 'arrival_to_recovery_time': 2352.887737, 'sortie_duration': 690.617645, 'recovery_truck_arrival_time': 1917.317216, 'truck_waiting_time': 435.570521, 'uav_waiting_time': 0.0, 'estimated_improvement': 850.802986}, {'uav': 3, 'launch': 1, 'customer': 10, 'recovery': 7, 'launch_time': 1662.270092, 'arrival_to_recovery_time': 2174.258178, 'sortie_duration': 511.988086, 'recovery_truck_arrival_time': 1917.317216, 'truck_waiting_time': 256.940962, 'uav_waiting_time': 0.0, 'estimated_improvement': 561.543164}, {'uav': 2, 'launch': 7, 'customer': 9, 'recovery': 0, 'launch_time': 2382.887737, 'arrival_to_recovery_time': 3040.607056, 'sortie_duration': 657.719318, 'recovery_truck_arrival_time': 3855.95587, 'truck_waiting_time': 0.0, 'uav_waiting_time': 815.348815, 'estimated_improvement': 921.718001}]"
20170608T121825920767,10,solved,101,3600,2,3,-1,1,1,3,1,20.852843046188354,0,3493.344135,20.782477,0.0,6434.989711,5.0,5.0,"[0, 1, 6, 8, 9, 5, 0]","[{'uav': 2, 'launch': 1, 'customer': 7, 'recovery': 5, 'launch_time': 238.606365, 'arrival_to_recovery_time': 900.270277, 'sortie_duration': 661.663912, 'recovery_truck_arrival_time': 3095.372275, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2195.101998, 'estimated_improvement': 1469.404464}, {'uav': 3, 'launch': 1, 'customer': 2, 'recovery': 9, 'launch_time': 238.606365, 'arrival_to_recovery_time': 935.801539, 'sortie_duration': 697.195174, 'recovery_truck_arrival_time': 2058.802111, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1123.000572, 'estimated_improvement': 1429.58503}, {'uav': 4, 'launch': 1, 'customer': 10, 'recovery': 0, 'launch_time': 238.606365, 'arrival_to_recovery_time': 748.698977, 'sortie_duration': 510.092612, 'recovery_truck_arrival_time': 3493.344135, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2744.645158, 'estimated_improvement': 1126.188933}, {'uav': 2, 'launch': 8, 'customer': 4, 'recovery': 9, 'launch_time': 1099.878054, 'arrival_to_recovery_time': 1756.152832, 'sortie_duration': 656.274778, 'recovery_truck_arrival_time': 2058.802111, 'truck_waiting_time': 0.0, 'uav_waiting_time': 302.649279, 'estimated_improvement': 2115.877529}, {'uav': 2, 'launch': 5, 'customer': 3, 'recovery': 0, 'launch_time': 3125.372275, 'arrival_to_recovery_time': 3423.75143, 'sortie_duration': 298.379155, 'recovery_truck_arrival_time': 3493.344135, 'truck_waiting_time': 0.0, 'uav_waiting_time': 69.592705, 'estimated_improvement': 634.379114}]"
20170608T121844810174,10,solved,101,3600,2,3,-1,1,1,3,1,23.519182205200195,0,3127.386233,23.44837,2.532484,7442.743841,4.0,6.0,"[0, 6, 3, 2, 9, 0]","[{'uav': 2, 'launch': 6, 'customer': 1, 'recovery': 0, 'launch_time': 691.909885, 'arrival_to_recovery_time': 1215.500901, 'sortie_duration': 523.591016, 'recovery_truck_arrival_time': 3127.386233, 'truck_waiting_time': 0.0, 'uav_waiting_time': 1911.885332, 'estimated_improvement': 698.083903}, {'uav': 3, 'launch': 6, 'customer': 7, 'recovery': 0, 'launch_time': 691.909885, 'arrival_to_recovery_time': 1069.375576, 'sortie_duration': 377.465691, 'recovery_truck_arrival_time': 3127.386233, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2058.010657, 'estimated_improvement': 200.21947}, {'uav': 4, 'launch': 6, 'customer': 10, 'recovery': 0, 'launch_time': 691.909885, 'arrival_to_recovery_time': 1061.712349, 'sortie_duration': 369.802464, 'recovery_truck_arrival_time': 3127.386233, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2065.673884, 'estimated_improvement': 173.004706}, {'uav': 2, 'launch': 3, 'customer': 8, 'recovery': 0, 'launch_time': 1537.091096, 'arrival_to_recovery_time': 2222.513352, 'sortie_duration': 685.422256, 'recovery_truck_arrival_time': 3127.386233, 'truck_waiting_time': 0.0, 'uav_waiting_time': 904.872882, 'estimated_improvement': 1465.105762}, {'uav': 3, 'launch': 3, 'customer': 5, 'recovery': 2, 'launch_time': 1537.091096, 'arrival_to_recovery_time': 2053.937677, 'sortie_duration': 516.846581, 'recovery_truck_arrival_time': 2051.405193, 'truck_waiting_time': 2.532484, 'uav_waiting_time': 0.0, 'estimated_improvement': 1060.580621}, {'uav': 3, 'launch': 2, 'customer': 4, 'recovery': 0, 'launch_time': 2083.937677, 'arrival_to_recovery_time': 2625.085147, 'sortie_duration': 541.14747, 'recovery_truck_arrival_time': 3127.386233, 'truck_waiting_time': 0.0, 'uav_waiting_time': 502.301086, 'estimated_improvement': 56.27623}]"
20170608T121903600571,10,solved,101,3600,2,3,-1,1,1,3,1,21.699669122695923,0,4112.027669,21.642466,0.0,2239.54515,5.0,5.0,"[0, 9, 8, 6, 3, 10, 0]","[{'uav': 2, 'launch': 9, 'customer': 4, 'recovery': 6, 'launch_time': 663.104955, 'arrival_to_recovery_time': 1323.173489, 'sortie_duration': 660.068534, 'recovery_truck_arrival_time': 2294.668342, 'truck_waiting_time': 0.0, 'uav_waiting_time': 971.494853, 'estimated_improvement': 974.392135}, {'uav': 3, 'launch': 9, 'customer': 5, 'recovery': 8, 'launch_time': 663.104955, 'arrival_to_recovery_time': 1290.077125, 'sortie_duration': 626.97217, 'recovery_truck_arrival_time': 1599.903492, 'truck_waiting_time': 0.0, 'uav_waiting_time': 309.826367, 'estimated_improvement': 472.004048}, {'uav': 2, 'launch': 8, 'customer': 7, 'recovery': 6, 'launch_time': 1629.903492, 'arrival_to_recovery_time': 2273.186909, 'sortie_duration': 643.283417, 'recovery_truck_arrival_time': 2294.668342, 'truck_waiting_time': 0.0, 'uav_waiting_time': 21.481433, 'estimated_improvement': 1740.393201}, {'uav': 2, 'launch': 6, 'customer': 1, 'recovery': 10, 'launch_time': 2324.668342, 'arrival_to_recovery_time': 2715.595222, 'sortie_duration': 390.92688, 'recovery_truck_arrival_time': 2923.417294, 'truck_waiting_time': 0.0, 'uav_waiting_time': 207.822072, 'estimated_improvement': 328.48851}, {'uav': 2, 'launch': 3, 'customer': 2, 'recovery': 0, 'launch_time': 2770.015108, 'arrival_to_recovery_time': 3383.107244, 'sortie_duration': 613.092136, 'recovery_truck_arrival_time': 4112.027669, 'truck_waiting_time': 0.0, 'uav_waiting_time': 728.920425, 'estimated_improvement': 802.987313}]"
20170608T121925358737,10,solved,101,3600,2,3,-1,1,1,3,1,21.72710871696472,0,4036.424394,21.668209,0.0,9886.96494,5.0,5.0,"[0, 10, 9, 3, 6, 7, 0]","[{'uav': 2, 'launch': 10, 'customer': 5, 'recovery': 7, 'launch_time': 291.418887, 'arrival_to_recovery_time': 726.014809, 'sortie_duration': 434.595922, 'recovery_truck_arrival_time': 3502.66888, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2776.654071, 'estimated_improvement': 1554.440437}, {'uav': 3, 'launch': 10, 'customer': 2, 'recovery': 0, 'launch_time': 291.418887, 'arrival_to_recovery_time': 663.814575, 'sortie_duration': 372.395688, 'recovery_truck_arrival_time': 4036.424394, 'truck_waiting_time': 0.0, 'uav_waiting_time': 3372.609819, 'estimated_improvement': 1099.393653}, {'uav': 4, 'launch': 10, 'customer': 8, 'recovery': 7, 'launch_time': 291.418887, 'arrival_to_recovery_time': 771.23598, 'sortie_duration': 479.817093, 'recovery_truck_arrival_time': 3502.66888, 'truck_waiting_time': 0.0, 'uav_waiting_time': 2731.4329, 'estimated_improvement': 744.577131}, {'uav': 2, 'launch': 6, 'customer': 4, 'recovery': 0, 'launch_time': 2756.579409, 'arrival_to_recovery_time': 3307.20779, 'sortie_duration': 550.628381, 'recovery_truck_arrival_time': 4036.424394, 'truck_waiting_time': 0.0, 'uav_waiting_time': 729.216604, 'estimated_improvement': 1908.198033}, {'uav': 3, 'launch': 6, 'customer': 1, 'recovery': 7, 'launch_time': 2756.579409, 'arrival_to_recovery_time': 3225.617334, 'sortie_duration': 469.037925, 'recovery_truck_arrival_time': 3502.66888, 'truck_waiting_time': 0.0, 'uav_waiting_time': 277.051546, 'estimated_improvement': 1277.778904}]"
